name,price ($),weight (kg),length (m),width (m),height (m),shipment date,port of loading,Vessel,Dwell after shipping,Customer,Called for inspection
E-Reader,324.38,0.46,0.19,0.18,0.02,24/06/2022,Port of Singapore (Singapore),AURORA,60,2,N
Plant,31.44,1.49,0.36,0.26,0.47,18/03/2022,Port of Busan (South Korea),AMELIA,58,2,N
Backpacking Tent,233.01,2.23,1.62,1.27,1.48,23/12/2022,Port of Tianjin (China),LINDA,35,2,N
Laptop Backpack,79.67,0.85,0.59,0.21,0.43,,Port of Tokyo (Japan),AURORA,68,12,N
Wheat Flour,54.44,4.12,0.4,0.5,0.3,03/07/2022,Port of Shanghai (China),LINDA,4,17,Y
Box of Cans of Tuna,24.18,9.83,0.55,0.23,0.19,05/02/2022,Port of Busan (South Korea),SAKURA,73,6,N
Pallete of Books,284.74,893.56,1.19,0.8,1.16,29/11/2022,Port of Shanghai (China),LINDA,72,19,N
Pallete of Dog Food,161.31,470.75,1.07,0.92,1.47,17/12/2022,Port of Singapore (Singapore),AURORA,49,1,N
Bicycle,95.42,12.83,1.28,0.43,1.02,06/06/2022,Port of Shanghai (China),LINDA,5,13,Y
Toy Car,44.01,0.22,0.37,0.24,0.19,01/05/2022,Port of Shanghai (China),LINDA,9,11,Y
Instant Noodle Pack,5.3,0.39,0.16,0.17,0.07,22/07/2022,Port of Tokyo (Japan),SERENA,63,12,N
Washing Machine,482.62,38.41,1.07,0.78,1.42,13/03/2022,Port of Tianjin (China),LINDA,14,18,Y
Planting Trowel,10.19,0.31,0.14,0.1,0.09,,Port of Shanghai (China),LINDA,37,4,N
Pool Table,643.32,178.04,2.29,1.43,0.5,19/08/2022,Port of Tianjin (China),LINDA,20,8,Y
Fridge,923.19,94.64,0.94,0.67,0.7,13/07/2022,Port of Tianjin (China),LINDA,20,2,Y
Fan,25.59,1.23,0.29,0.39,0.36,21/06/2022,Port of Shanghai (China),LINDA,71,19,N
Kitchen Knife Set,90.37,2.28,0.67,0.18,0.02,08/08/2022,Port of Shanghai (China),HANA,5,12,Y
Big Bag with Grains,56.39,334.05,1.26,0.64,0.18,20/09/2022,Port of Tianjin (China),LINDA,33,7,N
Big Bag with Coal,128.18,1197.04,1.81,0.88,0.24,18/03/2022,Port of Singapore (Singapore),AURORA,78,15,N
Big Bag with Debris,110.61,1183.19,1.61,1,0.2,07/12/2022,Port of Tianjin (China),LINDA,91,9,N
Pallete of Computers,886.27,2367.49,0.9,0.62,0.51,30/05/2022,Port of Tianjin (China),LINDA,26,1,Y
Pallete of Coffee,295.18,955.89,1.13,0.9,1.32,26/10/2022,Port of Tokyo (Japan),SAKURA,39,12,N
Pallete of Plants,332.93,509.72,1.06,0.91,1.26,19/12/2022,Port of Singapore (Singapore),HANA,38,4,N
Big Bag with Glass Scraps,233.13,1672.2,1.82,1.12,0.26,05/09/2022,Port of Busan (South Korea),SAKURA,97,17,N
Iron,97.89,1.97,0.25,0.12,0.16,03/09/2022,Port of Shanghai (China),LINDA,63,18,N
Smartphone,585.86,0.21,0.08,0.1,0.15,14/01/2022,Port of Singapore (Singapore),HANA,38,6,N
Pallete of Books,223.29,822.91,1.14,0.8,1.08,23/10/2022,Port of Busan (South Korea),SAKURA,54,1,N
Rice,108.12,149.94,0.7,0.35,0.83,23/10/2022,Port of Tokyo (Japan),SERENA,38,15,N
Compost Bin,49.68,11.97,0.68,0.92,0.66,07/07/2022,Port of Shanghai (China),LINDA,5,9,Y
Sleeping Bag,97.57,1.7,1.16,0.74,0.41,21/03/2022,Port of Tokyo (Japan),AURORA,53,16,N
Guitar,151.39,4.55,0.36,0.1,0.17,20/04/2022,Port of Busan (South Korea),SAKURA,42,14,N
Coffee Maker,157.35,1.37,0.31,0.28,0.29,27/07/2022,Port of Tokyo (Japan),SERENA,72,1,N
Bag of Flour,6.32,0.62,0.23,0.26,0.19,12/08/2022,Port of Shanghai (China),HANA,10,17,Y
Box of Toys,21.43,3.87,0.23,0.33,0.5,05/02/2022,Port of Busan (South Korea),SAKURA,58,13,N
Umbrella,28.23,0.46,1.11,0.21,0.23,18/04/2022,Port of Singapore (Singapore),HANA,26,1,N
Resistance Loop Bands,27.21,0.35,0.23,0.03,0.03,01/12/2022,Port of Tianjin (China),LINDA,68,4,N
Garden Sprayer,40.8,1.41,0.33,0.38,0.2,05/04/2022,Port of Tokyo (Japan),AURORA,43,5,N
Pallete of Coffee,322.67,845.54,1.02,0.97,1.48,16/01/2022,Port of Tianjin (China),LINDA,15,20,Y
Loaf of Bread,3.13,0.5,0.32,0.12,0.1,22/04/2022,Port of Busan (South Korea),AMELIA,42,5,N
Pallete of Cement,287.83,1013.23,1.47,1,1.4,09/04/2022,Port of Shanghai (China),HANA,27,11,Y
Mixed Dried Fruits,16.28,0.89,0.36,0.28,0.19,25/01/2022,Port of Tianjin (China),LINDA,64,16,N
Pallete of Frozen Fish,547.61,1191.88,1.19,0.97,1.31,06/02/2022,Port of Singapore (Singapore),AURORA,79,15,N
Medium Shipping Tube,10.67,0.42,0.34,0.17,0.94,29/01/2022,Port of Singapore (Singapore),HANA,54,3,N
Pallete of T-shirts,719.36,1732.1,1.16,1.36,0.59,04/09/2022,Port of Tianjin (China),LINDA,90,11,N
Wristwatch,326.68,0.19,0.22,0.04,0.03,30/08/2022,Port of Tokyo (Japan),AURORA,38,12,N
Large Flat Rate Box,27.2,0.91,0.93,0.66,0.35,16/05/2022,Port of Shanghai (China),LINDA,69,8,N
Pallete of Cookies,96.38,241.71,1.12,0.8,1.46,30/03/2022,Port of Tokyo (Japan),SAKURA,60,1,N
Pallete of Cement,237.21,1157.23,1.23,0.85,1.38,27/02/2022,Port of Singapore (Singapore),AURORA,75,11,N
Pallete of Wine Bottles,361.56,960.55,1.24,1.06,0.22,16/12/2022,Port of Singapore (Singapore),AURORA,66,2,N
Spices Collection,16.3,0.56,0.29,0.29,0.12,13/04/2022,Port of Tokyo (Japan),AURORA,64,5,N
Pallete of Shoes,365.74,1225.03,1.08,0.83,1.25,13/10/2022,Port of Tianjin (China),HANA,91,14,N
Car,203402.85,2489.02,4.98,2.01,1.58,,Port of Shanghai (China),LINDA,78,10,N
Pallete of Snacks,132.31,419.52,1.2,0.92,1.31,17/03/2022,Port of Tianjin (China),HANA,48,18,N
Pallete of Chips,111.13,274.91,1.12,0.91,1.38,31/01/2022,Port of Busan (South Korea),AMELIA,40,7,N
Medium Shipping Tube,12.62,0.28,0.34,0.29,0.9,16/01/2022,Port of Busan (South Korea),SERENA,61,9,N
Large Flat Rate Box,33.74,0.62,1.18,0.7,0.31,17/05/2022,Port of Singapore (Singapore),AURORA,64,5,N
Hedge Trimmer,73.91,3.52,0.97,0.21,0.1,21/02/2022,Port of Shanghai (China),HANA,39,3,N
Toaster,57.38,1.6,0.58,0.21,0.11,03/07/2022,Port of Busan (South Korea),SERENA,69,2,N
Jar of Pasta Sauce,8.96,0.46,0.12,0.11,0.14,05/10/2022,Port of Busan (South Korea),SERENA,35,7,N
Water Heater,185.23,10.59,0.53,0.38,0.17,08/10/2022,Port of Busan (South Korea),SAKURA,57,2,N
Water Bottle,12.41,0.89,0.2,0.23,0.06,05/03/2022,Port of Tokyo (Japan),SAKURA,31,5,N
Movie Night Pack,16.47,2.08,0.82,0.55,0.24,20/03/2022,Port of Shanghai (China),LINDA,70,14,N
Wine Opener,18.95,0.71,0.2,0.15,0.07,23/06/2022,Port of Shanghai (China),LINDA,74,1,N
Sofa,761.97,48.86,1.71,1.43,0.69,21/03/2022,Port of Singapore (Singapore),AURORA,48,13,N
Electric Kettle,30.64,0.69,0.23,0.2,0.29,11/06/2022,Port of Tokyo (Japan),SERENA,42,5,N
Medium Flat Rate Box,20.22,0.37,0.45,0.37,0.12,21/11/2022,Port of Tokyo (Japan),SERENA,58,1,N
Armchair,598.08,19.18,0.98,0.8,0.81,27/05/2022,Port of Tianjin (China),HANA,61,4,N
Microwave,56.33,19.54,0.44,0.55,0.22,07/11/2022,Port of Singapore (Singapore),AURORA,42,20,N
Bathroom Scale,21.76,1.23,0.5,0.32,0.03,10/06/2022,Port of Singapore (Singapore),AURORA,31,4,N
Medium Flat Rate Box,23.67,0.32,0.41,0.35,0.16,06/05/2022,Port of Shanghai (China),HANA,7,12,Y
Sprinkler System,495.05,6.59,0.96,0.61,0.18,30/06/2022,Port of Tianjin (China),LINDA,44,6,N
Large Shipping Tube,27.75,0.52,0.61,0.36,1.9,14/11/2022,Port of Shanghai (China),LINDA,12,16,Y
Coffee Maker,101.24,1.54,0.27,0.26,0.2,11/03/2022,Port of Tokyo (Japan),SERENA,54,3,N
Tablet,749.2,0.91,0.28,0.2,0.05,13/02/2022,Port of Busan (South Korea),AMELIA,32,4,N
Large Shipping Tube,29.57,0.55,0.63,0.46,1.57,05/08/2022,Port of Tianjin (China),LINDA,10,3,Y
Lawn Mower,200.12,35.98,1.1,1.06,0.48,25/02/2022,Port of Tokyo (Japan),SERENA,35,14,N
Medium Flat Rate Box,21.48,0.32,0.79,0.57,0.16,08/12/2022,Port of Tianjin (China),LINDA,47,20,N
Generators,2388.21,72.85,0.96,0.54,0.43,07/05/2022,Port of Busan (South Korea),SERENA,60,18,N
ATV,1312.28,648.58,2.99,1.09,1.07,01/10/2022,Port of Tokyo (Japan),AURORA,39,10,N
Fan,21.82,2.51,0.25,0.23,0.32,08/09/2022,Port of Tianjin (China),HANA,38,5,N
Breakfast Bundle,24.92,1.96,0.76,0.3,0.29,22/11/2022,Port of Tianjin (China),LINDA,28,3,N
Couch,760.87,79.07,1.84,1.06,1.03,29/09/2022,Port of Tianjin (China),LINDA,47,3,N
Rice,81.02,188.68,0.89,0.62,0.59,01/07/2022,Port of Singapore (Singapore),AURORA,57,8,N
Smartphone,514.65,0.16,0.14,0.07,0.03,10/11/2022,Port of Tokyo (Japan),AURORA,46,9,N
Pallete of Coffee,327.76,884.78,1.1,0.87,1.21,07/09/2022,Port of Shanghai (China),LINDA,41,7,N
MDF Boards,22.53,8.86,1.88,0.62,0.06,25/11/2022,Port of Tianjin (China),LINDA,39,9,N
Lawn Mower,132.47,29.56,1.26,0.75,0.6,25/08/2022,Port of Singapore (Singapore),AURORA,29,8,N
Healthy Snack Pack,19.31,0.48,0.22,0.14,0.06,30/12/2022,Port of Singapore (Singapore),AURORA,41,19,N
Garden Cart,102.23,13.66,1.11,0.66,0.47,10/08/2022,Port of Singapore (Singapore),HANA,34,2,N
Garden Hose,19.72,2.03,16.86,0.36,0.19,03/12/2022,Port of Shanghai (China),LINDA,75,14,N
Resistance Bands,26.34,0.48,0.12,0.07,0.01,07/03/2022,Port of Busan (South Korea),SERENA,64,16,N
Pallete of Apples,60.97,246.29,1.12,1,0.58,12/07/2022,Port of Shanghai (China),LINDA,56,3,N
Coffee Beans,7.36,0.46,0.21,0.13,0.08,14/11/2022,Port of Tokyo (Japan),SERENA,41,10,N
Toaster,55.64,1.33,0.55,0.25,0.19,02/03/2022,Port of Singapore (Singapore),AURORA,40,3,N
Coffee Table,101.08,17.35,1.08,0.51,0.55,04/02/2022,Port of Shanghai (China),LINDA,31,14,N
Toy Car,17.98,0.48,0.33,0.3,0.15,11/12/2022,Port of Tianjin (China),HANA,12,11,Y
Wooden Planks,21.91,14.08,1.63,0.16,0.93,19/01/2022,Port of Tokyo (Japan),AURORA,69,15,N
Lawn Edger,75.88,9.42,0.92,0.34,0.32,03/12/2022,Port of Busan (South Korea),SERENA,27,18,N
Picture Frame,17.83,0.23,0.26,0.16,0.03,10/09/2022,Port of Tokyo (Japan),SERENA,51,4,N
Box of Toys,30.04,4.18,0.25,0.37,0.5,08/01/2022,Port of Shanghai (China),HANA,6,19,Y
Refrigerator,530.68,63.66,1.45,1.16,1.77,28/07/2022,Port of Singapore (Singapore),AURORA,19,15,Y
Whey Protein Powder,68.68,1.9,0.33,0.34,0.14,05/01/2022,Port of Tokyo (Japan),SAKURA,48,1,N
Pallete of Orange Juice,170.56,516.87,1.15,0.88,1.38,11/06/2022,Port of Singapore (Singapore),AURORA,33,18,N
Wetsuit,246.79,1.53,0.65,0.4,0.09,03/03/2022,Port of Shanghai (China),LINDA,9,5,Y
Wine Opener,12.43,0.78,0.13,0.12,0.07,19/10/2022,Port of Busan (South Korea),AMELIA,29,7,N
Medium Box,18.24,0.5,0.41,0.39,0.29,19/01/2022,Port of Singapore (Singapore),AURORA,65,19,N
Pallete of Coffee,276.61,846.14,1.07,0.9,1.4,29/06/2022,Port of Tokyo (Japan),SERENA,25,17,N
Pallete of Canned Fruit,145.83,452.57,,0.94,1.43,01/03/2022,Port of Busan (South Korea),AMELIA,71,2,N
Pallete of Laptops,90031.24,24023.85,0.61,0.59,0.2,30/10/2022,Port of Busan (South Korea),AMELIA,80,13,N
Smart Home Devices,227.27,0.22,1.33,1.29,0.42,11/08/2022,Port of Singapore (Singapore),AURORA,60,6,N
Portable Charger,42.7,0.36,0.11,0.06,0.03,04/03/2022,Port of Singapore (Singapore),AURORA,31,14,N
Forklift,7125.59,6005.24,2.38,2.01,1.87,15/03/2022,Port of Tianjin (China),HANA,79,14,N
Rice,44.89,192.78,0.77,0.37,0.53,16/05/2022,Port of Shanghai (China),HANA,34,17,N
Large Flat Rate Box,32.39,0.94,0.82,0.53,0.35,08/07/2022,Port of Busan (South Korea),SAKURA,26,19,N
Pallete of Toys,205.79,1322.19,1.04,0.86,1.43,26/07/2022,Port of Tianjin (China),LINDA,83,4,N
Pallete of Frozen Fish,477.57,1044.11,1.06,0.9,1.49,05/07/2022,Port of Busan (South Korea),SAKURA,81,7,N
Gardening Gloves,5.83,0.26,0.12,0.07,0.02,11/09/2022,Port of Busan (South Korea),SAKURA,36,12,N
Small Flat Rate Box,8.63,0.32,0.21,0.15,0.06,01/11/2022,Port of Busan (South Korea),SAKURA,68,11,N
Portable Charger,26.93,0.34,0.18,0.1,0.01,17/02/2022,Port of Busan (South Korea),AMELIA,46,18,N
Pallete of Laptops,79397.92,23267.94,0.64,0.56,0.13,14/07/2022,Port of Busan (South Korea),AMELIA,102,19,N
Briefcase,71.62,2.52,0.63,0.54,0.24,24/08/2022,Port of Busan (South Korea),AMELIA,25,20,N
Water Heater,85.38,11.23,0.34,0.31,0.19,15/10/2022,Port of Shanghai (China),LINDA,6,18,Y
Coffee Beans,31.05,1.8,0.24,0.21,0.11,14/02/2022,Port of Busan (South Korea),SAKURA,69,20,N
Computer,1524.58,3.34,0.41,0.33,0.13,24/05/2022,Port of Tokyo (Japan),SERENA,61,13,N
Desk Lamp,18.92,0.53,0.17,0.13,0.26,13/08/2022,Port of Shanghai (China),HANA,12,4,Y
Beach Towel,25.77,0.76,1.24,1.15,0.06,06/11/2022,Port of Tianjin (China),LINDA,5,8,Y
Folding Table,73.4,6.18,0.89,0.6,0.12,15/08/2022,Port of Singapore (Singapore),AURORA,49,16,N
Gym Bag,28.68,0.5,0.36,0.22,0.21,04/05/2022,Port of Tokyo (Japan),AURORA,28,17,N
Pallete of Coffee,317.3,813.99,1.14,0.91,1.42,21/07/2022,Port of Tianjin (China),LINDA,25,19,Y
Pallete of Toys,296.91,1332.41,1.05,0.83,1.22,11/07/2022,Port of Singapore (Singapore),AURORA,64,2,N
Messenger Bag,40.2,0.68,0.27,0.67,0.17,20/03/2022,Port of Shanghai (China),LINDA,61,20,N
Air Conditioner,424.77,87.12,0.52,0.5,0.21,15/03/2022,Port of Busan (South Korea),SAKURA,75,7,N
Microwave Oven,130.55,12.56,0.56,0.49,0.27,24/09/2022,Port of Busan (South Korea),SAKURA,25,18,N
Floor Lamp,56.15,2.74,0.41,0.39,1.23,25/09/2022,Port of Tokyo (Japan),SAKURA,15,9,Y
Extra Large Box,48.23,1.06,1.11,0.76,0.52,03/10/2022,Port of Singapore (Singapore),AURORA,74,3,N
Pallete of Musical Instruments,749.64,1727.45,1.27,1.07,0.6,22/03/2022,Port of Tianjin (China),LINDA,80,1,N
Big Bag with Coal,107.29,1560.54,1.74,0.98,0.23,10/03/2022,Port of Shanghai (China),HANA,17,13,Y
Table Lamp,55.56,0.68,0.21,0.28,0.38,10/10/2022,Port of Tianjin (China),LINDA,31,12,N
Motorcycle,923.82,293.14,2.13,1.16,1,30/08/2022,Port of Singapore (Singapore),AURORA,30,11,N
Beach Towel,29.6,0.67,1.56,1.34,0.05,21/02/2022,Port of Tokyo (Japan),SERENA,40,2,N
Refrigerator,807.31,92.74,1.2,1.17,1.82,06/10/2022,Port of Singapore (Singapore),AURORA,57,3,N
Printer,122.15,10.82,0.53,0.29,0.18,12/08/2022,Port of Busan (South Korea),AMELIA,74,10,N
Gardening Gloves,15.76,0.3,0.19,0.07,0.07,29/06/2022,Port of Busan (South Korea),SAKURA,55,11,N
Pallete of Crackers,135.49,261.33,1,0.91,1.34,19/12/2022,Port of Shanghai (China),LINDA,18,15,Y
Gym Bag,53.13,0.6,0.37,0.26,0.24,19/11/2022,Port of Singapore (Singapore),HANA,63,15,N
Gardening Gloves,10.92,0.45,0.12,0.06,0.08,05/11/2022,Port of Singapore (Singapore),AURORA,67,1,N
Pallete of Bird Food,98.23,224.21,1.12,0.96,1.47,06/06/2022,Port of Shanghai (China),LINDA,29,21,Y
Hedge Trimmer,53.07,3.15,1.17,0.29,0.13,14/02/2022,Port of Busan (South Korea),AMELIA,41,14,N
Toaster,45.71,1.71,0.51,0.23,0.13,18/10/2022,Port of Shanghai (China),LINDA,39,19,N
Computer Monitor,305.74,3.03,0.45,0.22,0.14,11/02/2022,Port of Shanghai (China),HANA,56,6,N
Pool Table,643.13,150.77,2.1,1.19,0.59,18/08/2022,Port of Tianjin (China),LINDA,65,6,N
Electric Toothbrush,36.02,0.29,0.19,0.04,0.09,02/12/2022,Port of Tianjin (China),HANA,27,6,N
Sofa,1107.56,148.2,1.6,1.4,0.85,12/06/2022,Port of Busan (South Korea),SERENA,62,13,N
Movie Night Pack,19.35,2.15,0.91,0.55,0.23,20/04/2022,Port of Busan (South Korea),SERENA,32,9,N
Electric Guitar,645.77,2.8,1.25,0.55,0.23,18/04/2022,Port of Tianjin (China),LINDA,5,4,Y
Pruning Saw,21.25,0.88,0.34,0.04,0.04,31/12/2022,Port of Singapore (Singapore),HANA,28,12,N
Planting Trowel,11.25,0.22,0.19,0.07,0.05,22/12/2022,Port of Tokyo (Japan),SAKURA,47,3,N
Fruit Basket,47.6,2.22,0.53,0.22,0.22,20/08/2022,Port of Singapore (Singapore),HANA,25,7,N
Pallete of Wine Bottles,446.38,873.91,1.22,1.16,0.26,03/12/2022,Port of Tokyo (Japan),SAKURA,45,3,N
Garden Hose,34.92,2.03,25.07,0.36,0.11,31/05/2022,Port of Busan (South Korea),SAKURA,67,1,N
Laptop Bag,33.82,0.95,0.36,0.39,0.12,30/09/2022,Port of Tokyo (Japan),SERENA,67,6,N
Table Lamp,25.69,0.68,0.23,0.25,0.37,14/07/2022,Port of Busan (South Korea),SERENA,68,9,N
Bicycle,138.32,14.04,1.21,0.63,0.88,07/06/2022,Port of Shanghai (China),LINDA,8,1,Y
Large Bubble Mailer,8.27,0.1,0.28,0.1,0.01,29/07/2022,Port of Singapore (Singapore),AURORA,43,3,N
Swim Goggles,14.6,0.16,0.11,0.08,0.1,04/07/2022,Port of Busan (South Korea),SAKURA,50,6,N
Desk Lamp,89.13,0.63,0.28,0.25,0.22,06/11/2022,Port of Busan (South Korea),AMELIA,53,11,N
Pallete of Magazines,103.55,417.61,1.01,0.8,1.16,13/06/2022,Port of Shanghai (China),LINDA,21,3,Y
Roofing Shingles,15.1,7.62,0.65,0.7,0.05,28/09/2022,Port of Tokyo (Japan),AURORA,63,2,N
Plywood Sheets,46.94,16.16,1.43,0.82,0.02,28/04/2022,Port of Tokyo (Japan),SAKURA,67,4,N
Sailboat,345439.6,1831.47,24.52,5.14,4.71,17/02/2022,Port of Shanghai (China),LINDA,97,6,N
Wetsuit,173.33,1.78,0.68,0.5,0.13,05/11/2022,Port of Shanghai (China),LINDA,9,16,Y
Hair Dryer,90.59,0.52,0.39,0.18,0.18,07/01/2022,Port of Tianjin (China),LINDA,69,1,N
Pallete of Laptops,48751.08,22134.8,0.72,0.41,0.18,28/03/2022,Port of Busan (South Korea),AMELIA,21,5,Y
Pallete of Apples,55.44,244.49,1.09,0.83,0.5,29/03/2022,Port of Shanghai (China),HANA,70,15,N
Refrigerator,630.2,84.24,1.37,0.83,1.63,11/05/2022,Port of Shanghai (China),HANA,50,16,N
Computer Monitor,359.96,3.76,0.52,0.26,0.1,04/06/2022,Port of Singapore (Singapore),HANA,62,1,N
Printer,265.34,7.8,0.38,0.29,0.31,21/08/2022,Port of Tianjin (China),LINDA,60,2,N
Bed,513.02,63.25,2.06,1.82,1.26,14/12/2022,Port of Singapore (Singapore),AURORA,35,17,N
Sprinkler System,250.59,9.96,0.93,0.93,0.19,27/11/2022,Port of Singapore (Singapore),AURORA,37,11,N
Iron,45.96,1.95,0.16,0.2,0.13,21/09/2022,Port of Shanghai (China),LINDA,31,7,N
Briefcase,42.5,2.22,0.72,0.83,0.27,16/05/2022,Port of Singapore (Singapore),AURORA,33,5,N
Cookware Set,190.61,9.28,0.47,0.35,0.14,26/08/2022,Port of Tokyo (Japan),AURORA,48,14,N
Microwave,108.38,14.96,0.51,0.6,0.29,10/06/2022,Port of Singapore (Singapore),AURORA,50,5,N
Gaming Console,319.31,2.77,0.4,0.38,0.11,13/07/2022,Port of Singapore (Singapore),HANA,33,16,N
Large Box,35.16,0.93,0.75,0.56,0.38,17/12/2022,Port of Tokyo (Japan),AURORA,47,12,N
Refrigerator,889.04,104.94,0.72,0.65,0.96,15/03/2022,Port of Tokyo (Japan),AURORA,38,3,N
Fan,37.15,2.48,0.31,0.37,0.28,31/12/2022,Port of Tianjin (China),HANA,40,3,N
Pallete of Magazines,141.77,487.54,1.48,0.8,1.02,24/07/2022,Port of Tianjin (China),LINDA,24,10,Y
Bed,377.12,63.67,2.35,1.89,1.47,,Port of Shanghai (China),LINDA,23,2,Y
Handheld Mixer,32.89,2.19,0.53,0.34,0.18,14/10/2022,Port of Busan (South Korea),SAKURA,60,4,N
Wine Opener,10.3,0.32,0.13,0.13,0.07,10/11/2022,Port of Busan (South Korea),SAKURA,46,8,N
ATV,3223.34,502.86,2.59,1.06,1.07,24/10/2022,Port of Shanghai (China),LINDA,60,7,N
Smartphone Case,9.37,0.05,0.13,0.09,0.02,18/06/2022,Port of Tokyo (Japan),SAKURA,40,8,N
Drawstring Bag,12.54,0.28,0.21,0.32,0.12,22/04/2022,Port of Singapore (Singapore),HANA,55,7,N
Cookware Set,236.43,4.96,0.32,0.38,0.13,01/12/2022,Port of Tianjin (China),HANA,15,8,Y
Guitar,246.75,4.8,0.39,0.16,0.12,04/06/2022,Port of Singapore (Singapore),AURORA,46,15,N
Soap Dispenser,14.47,0.57,0.18,0.18,0.24,10/07/2022,Port of Tokyo (Japan),AURORA,54,4,N
Medium Box,10.08,0.36,0.49,0.33,0.29,24/08/2022,Port of Tianjin (China),LINDA,14,5,Y
Small Bubble Mailer,2.16,0.08,0.11,0.09,0.01,06/05/2022,Port of Tianjin (China),LINDA,14,12,Y
Garden Cart,83.75,19.29,0.9,0.69,0.46,10/05/2022,Port of Tianjin (China),HANA,13,8,Y
Small Boat,16640.75,631.87,4.8,2.31,2.12,08/04/2022,Port of Shanghai (China),LINDA,32,4,N
Printer,244.23,5,0.47,0.42,0.4,15/10/2022,Port of Shanghai (China),HANA,26,2,N
Bathroom Scale,22.75,1.86,0.38,0.35,0.03,08/10/2022,Port of Busan (South Korea),SERENA,31,17,N
Scooter,86.14,3.09,1.01,0.31,0.24,18/03/2022,Port of Tokyo (Japan),SERENA,49,7,N
ATV,2641.8,592.1,2.56,1.24,1.45,17/06/2022,Port of Shanghai (China),LINDA,21,14,Y
Small Box,7.36,0.23,0.25,0.28,0.18,10/09/2022,Port of Tianjin (China),HANA,9,6,Y
Laptop Bag,32.85,1.5,0.28,0.32,0.07,07/12/2022,Port of Shanghai (China),LINDA,61,13,N
Leaf Blower,59.37,2.86,0.69,0.31,0.28,17/11/2022,Port of Singapore (Singapore),AURORA,68,18,N
Garden Sprayer,49.66,1.24,0.27,0.28,0.26,31/01/2022,Port of Tokyo (Japan),AURORA,46,5,N
Pillows,23.39,1.38,0.29,0.2,0.18,11/07/2022,Port of Busan (South Korea),AMELIA,73,14,N
ATV,2716.51,750.9,2.55,1.27,1.49,05/12/2022,Port of Shanghai (China),LINDA,19,7,Y
Bicycle,126.08,13.08,1.36,0.46,1.13,12/04/2022,Port of Tianjin (China),LINDA,61,1,N
Washing Machine,384.9,35.94,1,0.69,1.19,02/07/2022,Port of Tianjin (China),LINDA,73,5,N
Bag of Flour,7.23,0.59,0.38,0.22,0.18,09/11/2022,Port of Tokyo (Japan),AURORA,26,9,N
Pillows,24.86,1.93,0.25,0.29,0.12,03/05/2022,Port of Shanghai (China),LINDA,4,16,Y
Mountain Bike,598.91,10.77,1.54,0.85,1.15,11/10/2022,Port of Tokyo (Japan),SAKURA,55,13,N
Running Shoes,70.07,0.83,0.32,0.3,0.14,29/04/2022,Port of Singapore (Singapore),AURORA,56,3,N
Pillows,21.28,1.03,0.23,0.22,0.16,20/10/2022,Port of Singapore (Singapore),HANA,58,6,N
Foam Roller,44.2,0.71,0.32,0.17,0.17,10/03/2022,Port of Shanghai (China),LINDA,28,17,N
Pineapple (Canned),133.55,44.8,0.4,0.3,0.3,30/06/2022,Port of Shanghai (China),LINDA,28,20,N
MDF Boards,28.12,5.92,1.85,0.83,0.07,26/11/2022,Port of Tianjin (China),LINDA,14,15,Y
Gardening Gloves,16.04,0.22,0.19,0.09,0.07,25/04/2022,Port of Singapore (Singapore),AURORA,47,3,N
Desktop Computer,1294.94,7.66,0.5,0.45,0.65,30/08/2022,Port of Tianjin (China),LINDA,38,13,N
Printer,353.55,6.34,0.31,0.44,0.37,01/10/2022,Port of Shanghai (China),LINDA,47,18,N
Large Flat Rate Box,38.3,1.13,0.9,0.55,0.38,13/07/2022,Port of Singapore (Singapore),AURORA,29,9,N
Large Padded Envelope,7.22,0.19,0.29,0.13,0.04,22/01/2022,Port of Singapore (Singapore),HANA,49,2,N
Pallete of Musical Instruments,856.36,1795.04,1.41,1.2,0.68,05/04/2022,Port of Shanghai (China),LINDA,27,15,Y
Hedge Trimmer,99.78,4.23,0.81,0.29,0.16,01/10/2022,Port of Tianjin (China),HANA,7,10,Y
Pallete of Plants,232.69,610.56,1.19,0.99,1.34,22/01/2022,Port of Shanghai (China),LINDA,49,3,N
Hiking Boots,147.32,2.24,0.49,0.49,0.31,02/07/2022,Port of Singapore (Singapore),HANA,34,17,N
Sailboat,496154.47,1242.47,19.85,3.59,3.4,06/09/2022,Port of Tianjin (China),LINDA,92,19,N
Leaf Blower,97.27,4.5,0.57,0.33,0.23,04/02/2022,Port of Shanghai (China),LINDA,42,12,N
Pallete of Coffee,292.81,872.18,1.04,0.91,1.45,30/11/2022,Port of Singapore (Singapore),AURORA,48,6,N
Pallete of Wine Bottles,481.74,837.26,1.06,1.08,0.3,13/06/2022,Port of Tianjin (China),LINDA,62,3,N
Big Bag with Metal Scraps,154.2,1078,1.91,0.74,0.17,06/05/2022,Port of Tokyo (Japan),SAKURA,87,3,N
Large Shipping Tube,26.78,0.77,0.58,0.44,1.86,03/11/2022,Port of Singapore (Singapore),HANA,61,1,N
Pallete of Books,254.3,830.41,1.11,0.8,1.09,26/12/2022,Port of Singapore (Singapore),HANA,72,4,N
Hiking Boots,112.21,1.52,0.36,0.28,0.44,20/07/2022,Port of Busan (South Korea),SERENA,27,11,N
Sports Car,1527074.5,1379.48,4.3,1.99,1.42,13/07/2022,Port of Tokyo (Japan),SAKURA,64,8,N
